S.No.,State Code,State Name,Parliament Constituency Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name
1,35,Andaman And Nicobar Islands,543,Andaman & Nicobar Islands,,
2,28,Andhra Pradesh,411,Amalapuram,,
3,28,Andhra Pradesh,412,Anakapalle,,
4,28,Andhra Pradesh,413,Anantapur,,
5,28,Andhra Pradesh,414,Araku,,
6,28,Andhra Pradesh,415,Bapatla,,
7,28,Andhra Pradesh,418,Chittoor,,
8,28,Andhra Pradesh,419,Eluru,,
9,28,Andhra Pradesh,420,Guntur,,
10,28,Andhra Pradesh,421,Hindupur,,
11,28,Andhra Pradesh,423,Kadapa,,
12,28,Andhra Pradesh,424,Kakinada,,
13,28,Andhra Pradesh,427,Kurnool,,
14,28,Andhra Pradesh,428,Machilipatnam,,
15,28,Andhra Pradesh,435,Nandyal,,
16,28,Andhra Pradesh,436,Narasaraopet,,
17,28,Andhra Pradesh,437,Narsapuram,,
18,28,Andhra Pradesh,438,Nellore,,
19,28,Andhra Pradesh,440,Ongole,,
20,28,Andhra Pradesh,442,Rajahmundry,,
21,28,Andhra Pradesh,443,Rajampet,,
22,28,Andhra Pradesh,445,Srikakulam,,
23,28,Andhra Pradesh,446,Tirupati,,
24,28,Andhra Pradesh,447,Vijayawada,,
25,28,Andhra Pradesh,448,Visakhapatnam,,
26,28,Andhra Pradesh,449,Vizianagaram,,
27,12,Arunachal Pradesh,193,Arunachal East,,
28,12,Arunachal Pradesh,194,Arunachal West,,
29,18,Assam,203,Autonomous District,,
30,18,Assam,204,Barpeta,,
31,18,Assam,205,Dhubri,,
32,18,Assam,206,Dibrugarh,,
33,18,Assam,207,Gauhati,,
34,18,Assam,208,Jorhat,,
35,18,Assam,209,Kaliabor,,
36,18,Assam,210,Karimganj,,
37,18,Assam,211,Kokrajhar,,
38,18,Assam,212,Lakhimpur,,
39,18,Assam,213,Mangaldoi,,
40,18,Assam,214,Nowgong,,
41,18,Assam,215,Silchar,,
42,18,Assam,216,Tezpur,,
43,10,Bihar,152,Araria,,
44,10,Bihar,153,Arrah,,
45,10,Bihar,154,Aurangabad,,
46,10,Bihar,155,Banka,,
47,10,Bihar,156,Begusarai,,
48,10,Bihar,157,Bhagalpur,,
49,10,Bihar,158,Buxar,,
50,10,Bihar,159,Darbhanga,,
51,10,Bihar,160,Gaya,,
52,10,Bihar,161,Gopalganj,,
53,10,Bihar,162,Hajipur,,
54,10,Bihar,163,Jahanabad,,
55,10,Bihar,164,Jamui,,
56,10,Bihar,165,Jhanjharpur,,
57,10,Bihar,166,Karakat,,
58,10,Bihar,167,Katihar,,
59,10,Bihar,168,Khagaria,,
60,10,Bihar,169,Kishanganj,,
61,10,Bihar,170,Madhepura,,
62,10,Bihar,171,Madhubani,,
63,10,Bihar,172,Maharajganj,,
64,10,Bihar,173,Munger,,
65,10,Bihar,174,Muzaffarpur,,
66,10,Bihar,175,Nalanda,,
67,10,Bihar,176,Nawada,,
68,10,Bihar,177,Paschim Champaran,,
69,10,Bihar,178,Pataliputra,,
70,10,Bihar,179,Patna Sahib,,
71,10,Bihar,180,Purnia,,
72,10,Bihar,181,Purvi Champaran,,
73,10,Bihar,182,Samastipur,,
74,10,Bihar,183,Saran,,
75,10,Bihar,184,Sasaram,,
76,10,Bihar,185,Sheohar,,
77,10,Bihar,186,Sitamarhi,,
78,10,Bihar,187,Siwan,,
79,10,Bihar,188,Supaul,,
80,10,Bihar,189,Ujiarpur,,
81,10,Bihar,190,Vaishali,,
82,10,Bihar,191,Valmiki Nagar,,
83,4,Chandigarh,24,Chandigarh,,
84,22,Chhattisgarh,294,Bastar,,
85,22,Chhattisgarh,295,Bilaspur,,
86,22,Chhattisgarh,296,Durg,,
87,22,Chhattisgarh,297,Janjgir Champa,,
88,22,Chhattisgarh,298,Kanker,,
89,22,Chhattisgarh,299,Korba,,
90,22,Chhattisgarh,300,Mahasamund,,
91,22,Chhattisgarh,301,Raigarh,,
92,22,Chhattisgarh,302,Raipur,,
93,22,Chhattisgarh,303,Rajnandgaon,,
94,22,Chhattisgarh,304,Surguja,,
95,7,Delhi,40,Chandni Chowk,,
96,7,Delhi,41,East Delhi,,
97,7,Delhi,42,New Delhi,,
98,7,Delhi,43,North East Delhi,,
99,7,Delhi,44,North West Delhi,,
100,7,Delhi,45,South Delhi,,
101,7,Delhi,46,West Delhi,,
102,30,Goa,480,North Goa,,
103,30,Goa,481,South Goa,,
104,24,Gujarat,334,Ahmedabad East,,
105,24,Gujarat,335,Ahmedabad West,,
106,24,Gujarat,336,Amreli,,
107,24,Gujarat,337,Anand,,
108,24,Gujarat,338,Banaskantha,,
109,24,Gujarat,339,Bardoli,,
110,24,Gujarat,340,Bharuch,,
111,24,Gujarat,341,Bhavnagar,,
112,24,Gujarat,342,Chhota Udaipur,,
113,24,Gujarat,343,Dahod,,
114,24,Gujarat,344,Gandhinagar,,
115,24,Gujarat,345,Jamnagar,,
116,24,Gujarat,346,Junagadh,,
117,24,Gujarat,347,Kachchh,,
118,24,Gujarat,348,Kheda,,
119,24,Gujarat,349,Mahesana,,
